id,missing_link_id,candidate_link_id,referenced_link_id,name_score,speed_match,feature_id_match,oneway_match,dironsign_match,divided_type_match,coverage_over_link_area,coverage_over_candidate_area,is_match
189,101693834,101907243,144414,0.096774198114872,0,0,0,1,1,0.00260131736286,0.909344851970673,0
190,101693834,1229214773,144414,1,1,1,0,1,1,0.000370214140275,0.995628654956818,0
191,101693834,1229214795,144414,1,1,1,1,1,1,0.000329867121764,0.998521447181702,0
192,101693834,101693838,144414,1,1,1,1,1,1,2.78895458905026E-05,0.999928534030914,0
193,117062496,1230222082,944709,1,1,1,1,1,1,0.813138127326965,0.044363468885422,1
194,117062496,1230222083,944709,1,1,1,1,1,1,0.105016767978668,0.055639278143644,1
195,117062496,1230222062,944709,1,1,1,1,1,1,0.037480622529984,0.011338895186782,1
196,117062496,1215784859,944709,0.03333330154419,0,0,1,1,1,0.001420623273589,0.962526917457581,0
197,117062496,909579727,944709,0.03333330154419,0,0,1,1,1,0.001411080942489,0.98236882686615,0
198,117062496,121680166,944709,0,1,0,1,1,1,0.001302822027355,0.997168898582458,0
199,117062496,1230222027,944709,0,1,0,1,1,1,0.0001718771382,0.998664021492004,0
200,117062496,121680176,944709,1,1,1,1,1,1,2.38557709053566E-06,0.999986410140991,0
201,22941661,1229920290,1199957,1,0,1,1,1,1,0.74890261888504,0.01610865816474,1
202,22941661,1229920289,1199957,1,1,1,1,1,1,0.230273678898811,0.035865031182766,1
203,22941661,1229919112,1199957,0.200000002980232,1,0,1,1,1,0.000143597979331,0.999587059020996,0
204,22941661,1229918988,1199957,0.733332991600037,0,1,1,1,1,3.9805869164411E-05,0.999905347824097,0
205,22941661,125307253,1199957,1,1,1,1,1,1,3.44101281370968E-05,0.99966698884964,0
206,894202956,1224027637,893902,1,1,1,1,1,1,0.589564502239227,0.049222018569708,1
207,894202956,1224027638,893902,1,1,1,1,1,1,0.362196743488312,0.046670582145453,1
208,894202956,1224027716,893902,0.125,0,0,1,1,1,0.006625104229897,0.988724827766418,0
209,894202956,1224027651,893902,0.125,0,0,1,1,1,0.006362421438098,0.98911464214325,0
